sector_id,sector_name,tier,param_code,param_group,param_name,unit,required_for_v1,value,status,evidence_class,confidence,primary_source,secondary_source,notes
S01,Agriculture,Tier 1,C6,Productivity and labour,Capital cost of adoption,NZD/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,C7,Productivity and labour,NZ case studies / anchor evidence,text/link,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D1,Policy and institutional context,Existing government support / incentives,text/link,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D2,Policy and institutional context,Regulatory or governance constraints,text/link,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D3,Policy and institutional context,Skills pipeline relevance,text/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D4,Policy and institutional context,Immigration / external talent relevance,text/range,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D5,Policy and institutional context,Industry body AI initiatives,text/link,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D6,Policy and institutional context,International comparators / alignment,text/link,yes,,unfilled,,,,,
S01,Agriculture,Tier 1,D7,Policy and institutional context,Government procurement / institutional settings,text/link,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$22,147M (chain-volume, YE Mar 2025)",filled,observed,high,Stats NZ GDP by Industry Dec 2025,,
S02,Manufacturing,Tier 1,A2,Economic baseline,Employment,headcount,yes,"257,500 (HLFS Dec 2025 quarter)",filled,observed,high,Stats NZ HLFS Dec 2025,,
S02,Manufacturing,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"22,680 enterprises (Feb 2025)",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S02,Manufacturing,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,"{""zero"": 11706, ""1-5"": 5454, ""6-9"": 1806, ""10-19"": 1731, ""20-49"": 1215, ""50-99"": 426, ""100+"": 339}",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S02,Manufacturing,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$86,008 per worker (derived: GDP/employment)",filled,derived,medium,Derived from Stats NZ GDP + HLFS,,
S02,Manufacturing,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,"58% (Datacom 2024, 100+ employee firms). 80% aware of/implementing I4.0 (Callaghan 2025).",filled,observed,medium,Datacom State of AI 2024; Callaghan Innovation 2025,,
S02,Manufacturing,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,"Scale (NZ ~10 years behind Europe), skills, capital cost",filled,observed,medium,Callaghan Innovation 2025,,
S02,Manufacturing,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,Accelerating. Investment Boost (20% tax deduction) directly lowers capital barriers.,filled,observed,medium,Callaghan Innovation 2025; IRD,,
S02,Manufacturing,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,15-30% improvement potential. 10-30% efficiency gains (OECD). NZ 10 years behind Europe.,filled,derived,medium,OECD; Callaghan Innovation 2025,,
S02,Manufacturing,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,C3,Productivity and labour,Labour displacement pressure,percent/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,C4,Productivity and labour,New role / job creation potential,qualitative/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,C5,Productivity and labour,Time-to-realise gains,years/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,C6,Productivity and labour,Capital cost of adoption,NZD/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,C7,Productivity and labour,NZ case studies / anchor evidence,text/link,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,D1,Policy and institutional context,Existing government support / incentives,text/link,yes,Investment Boost: 20% tax deduction. Callaghan Innovation R&D grants. I4.0 programmes.,filled,observed,high,IRD; Callaghan Innovation,,
S02,Manufacturing,Tier 1,D2,Policy and institutional context,Regulatory or governance constraints,text/link,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,D3,Policy and institutional context,Skills pipeline relevance,text/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,D4,Policy and institutional context,Immigration / external talent relevance,text/range,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,D5,Policy and institutional context,Industry body AI initiatives,text/link,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,D6,Policy and institutional context,International comparators / alignment,text/link,yes,,unfilled,,,,,
S02,Manufacturing,Tier 1,D7,Policy and institutional context,Government procurement / institutional settings,text/link,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$32,757M (chain-volume, YE Mar 2025)",filled,observed,high,Stats NZ GDP by Industry Dec 2025,,Combined: Professional + Scientific + Technical + Admin + Support
S03,Professional Services,Tier 1,A2,Economic baseline,Employment,headcount,yes,"372,000 (HLFS Dec 2025 quarter)",filled,observed,high,Stats NZ HLFS Dec 2025,,Combined: Prof/Sci/Tech + Admin + Support
S03,Professional Services,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"93,204 enterprises (Feb 2025)",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S03,Professional Services,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$88,056 per worker (derived: GDP/employment)",filled,derived,medium,Derived from Stats NZ GDP + HLFS,,
S03,Professional Services,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,Highest current adoption. GenAI active use doubled 12% to 22% in 12 months (Thomson Reuters 2025).,filled,observed,medium,Thomson Reuters 2025,,
S03,Professional Services,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,Diminishing returns from further investment; already high adoption base,filled,derived,medium,Thomson Reuters 2025; RBNZ occupational analysis,,
S03,Professional Services,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,Rapidly accelerating. RBNZ confirms highest AI exposure for professional/managerial occupations.,filled,observed,medium,Thomson Reuters 2025; RBNZ May 2025,,
S03,Professional Services,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,Moderate. Diminishing returns from high base. Further gains smaller per dollar invested.,filled,derived,medium,OECD; Thomson Reuters 2025,,
S03,Professional Services,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,C3,Productivity and labour,Labour displacement pressure,percent/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,C4,Productivity and labour,New role / job creation potential,qualitative/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,C5,Productivity and labour,Time-to-realise gains,years/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,C6,Productivity and labour,Capital cost of adoption,NZD/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,C7,Productivity and labour,NZ case studies / anchor evidence,text/link,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D1,Policy and institutional context,Existing government support / incentives,text/link,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D2,Policy and institutional context,Regulatory or governance constraints,text/link,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D3,Policy and institutional context,Skills pipeline relevance,text/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D4,Policy and institutional context,Immigration / external talent relevance,text/range,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D5,Policy and institutional context,Industry body AI initiatives,text/link,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D6,Policy and institutional context,International comparators / alignment,text/link,yes,,unfilled,,,,,
S03,Professional Services,Tier 1,D7,Policy and institutional context,Government procurement / institutional settings,text/link,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$13,499M (chain-volume, YE Mar 2025)",filled,observed,high,Stats NZ GDP by Industry Dec 2025,,
S04,Public Sector,Tier 1,A2,Economic baseline,Employment,headcount,yes,"187,800 (HLFS Dec 2025 quarter)",filled,observed,high,Stats NZ HLFS Dec 2025,,
S04,Public Sector,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"1,464 enterprises (Feb 2025)",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S04,Public Sector,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,"{""zero"": 738, ""1-5"": 288, ""6-9"": 90, ""10-19"": 69, ""20-49"": 78, ""50-99"": 54, ""100+"": 141}",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S04,Public Sector,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$71,880 per worker (derived: GDP/employment)",filled,derived,medium,Derived from Stats NZ GDP + HLFS,,
S04,Public Sector,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,"Lowest adoption but accelerating fastest. GCDO 2025: 272 use cases across 70 agencies, 55 fully operational (up from 15).",filled,observed,high,GCDO AI Use Case Census 2025,,
S04,Public Sector,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,"Capability gap, risk-averse culture (""chilling effect"" from early guidance), scale/ROI uncertainty",filled,observed,high,Public Service Commission Nov 2024; GCDO,,
S04,Public Sector,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,Accelerating from very low base. Public Service AI Framework (Jan 2025) in place. CPAIC bipartisan support.,filled,observed,high,GCDO 2025; Cabinet Paper June 2024,,
S04,Public Sector,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,5-15% (OECD range). Highest untapped potential due to low base.,filled,derived,medium,OECD Miracle or Myth Nov 2024,,
S04,Public Sector,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,C3,Productivity and labour,Labour displacement pressure,percent/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,C4,Productivity and labour,New role / job creation potential,qualitative/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,C5,Productivity and labour,Time-to-realise gains,years/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,C6,Productivity and labour,Capital cost of adoption,NZD/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,C7,Productivity and labour,NZ case studies / anchor evidence,text/link,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,D1,Policy and institutional context,Existing government support / incentives,text/link,yes,GCDO work programme. Public Service AI Framework. Cross-portfolio AI work programme (MBIE+DIA).,filled,observed,high,Cabinet Paper June 2024; GCDO 2025,,
S04,Public Sector,Tier 1,D2,Policy and institutional context,Regulatory or governance constraints,text/link,yes,"Light-touch, proportionate, risk-based. No standalone AI Act. Algorithm Charter (21+ agencies). Privacy Act, OIA, Public Service Act all apply.",filled,observed,high,Cabinet Paper June 2024; GCDO 2025,,
S04,Public Sector,Tier 1,D3,Policy and institutional context,Skills pipeline relevance,text/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,D4,Policy and institutional context,Immigration / external talent relevance,text/range,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,D5,Policy and institutional context,Industry body AI initiatives,text/link,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,D6,Policy and institutional context,International comparators / alignment,text/link,yes,,unfilled,,,,,
S04,Public Sector,Tier 1,D7,Policy and institutional context,Government procurement / institutional settings,text/link,yes,,unfilled,,,,,
S05,Technology,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$24,000M (8% of GDP, 2024)",filled,observed,high,NZTech Manifesto 2026 / Key Metrics 2024,,Not a separate ANZSIC sector. NZTech definition spans ICT + hi-tech manufacturing + biotech.
S05,Technology,Tier 1,A2,Economic baseline,Employment,headcount,yes,"119,520 (tech sector jobs, 2024). Plus 98,290 ICT jobs in non-tech firms.",filled,observed,high,NZTech Manifesto 2026 / Key Metrics 2024,,First workforce contraction since GFC. ICT visa approvals down 67% YoY.
S05,Technology,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"24,012 companies in the tech sector",filled,observed,high,NZTech Manifesto 2026 / Key Metrics 2024,,
S05,Technology,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,,unfilled,,,,,
S05,Technology,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S05,Technology,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$200,836 per worker (derived: $24B / 119,520)",filled,derived,medium,Derived from NZTech Key Metrics 2024,,
S05,Technology,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,$11.4B exports (11% of NZ total). Tech exports growing 5x faster than the economy.,filled,observed,high,NZTech Manifesto 2026 / Key Metrics 2024,,
S05,Technology,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,"High adoption (supply-side sector). TIN200 revenue $20B (+9.9%). SaaS: $3.6B revenue, 743 firms, 15% CAGR.",filled,observed,medium,TIN200 2025; NZTech Key Metrics 2024,,Not comparable to demand-side adoption metrics. Tech is the enabler sector.
S05,Technology,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S05,Technology,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S05,Technology,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,"Talent retention (brain drain), capital access (firms moving offshore for VC), scale constraints, double taxation rules",filled,observed,high,NZTech Manifesto 2026,,
S05,Technology,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,$1.2B invested in R&D in ICT/tech (29% of NZ total R&D),filled,observed,high,NZTech Manifesto 2026 / Key Metrics 2024,,
S05,Technology,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,Growing but talent-constrained. First workforce contraction since GFC. Revenue still growing (+9.9% TIN200).,filled,observed,high,TIN200 2025; NZTech Manifesto 2026,,
S05,Technology,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,Supply-side enabler. Direct productivity gains less relevant than spillover effects across other sectors.,filled,derived,medium,Project architecture: supply-side feedback loop archetype,,
S05,Technology,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,C3,Productivity and labour,Labour displacement pressure,percent/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,C4,Productivity and labour,New role / job creation potential,qualitative/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,C5,Productivity and labour,Time-to-realise gains,years/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,C6,Productivity and labour,Capital cost of adoption,NZD/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,C7,Productivity and labour,NZ case studies / anchor evidence,text/link,yes,,unfilled,,,,,
S05,Technology,Tier 1,D1,Policy and institutional context,Existing government support / incentives,text/link,yes,R&D Tax Incentive ($611M cumulative). Callaghan Innovation grants. NZ Institute for Advanced Technology ($70M). Game dev subsidy.,filled,observed,high,NZTech Manifesto 2026; MBIE; IRD,,
S05,Technology,Tier 1,D2,Policy and institutional context,Regulatory or governance constraints,text/link,yes,"Light-touch. No standalone AI Act. Calls for: agentic commerce framework, quantum strategy, digital asset regulation, SaaS procurement reform.",filled,observed,high,NZTech Manifesto 2026; Cabinet Paper June 2024,,
S05,Technology,Tier 1,D3,Policy and institutional context,Skills pipeline relevance,text/range,yes,"31% of Year 13s studying tech. 2,555 Māori tech graduates (7%). IT degree graduates unspecified. ICT visa approvals down 67% YoY.",filled,observed,high,NZTech Manifesto 2026 / Key Metrics 2024,,
S05,Technology,Tier 1,D4,Policy and institutional context,Immigration / external talent relevance,text/range,yes,,unfilled,,,,,
S05,Technology,Tier 1,D5,Policy and institutional context,Industry body AI initiatives,text/link,yes,,unfilled,,,,,
S05,Technology,Tier 1,D6,Policy and institutional context,International comparators / alignment,text/link,yes,,unfilled,,,,,
S05,Technology,Tier 1,D7,Policy and institutional context,Government procurement / institutional settings,text/link,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$19,175M (chain-volume, YE Mar 2025)",filled,observed,high,Stats NZ GDP by Industry Dec 2025,,
S06,Healthcare,Tier 1,A2,Economic baseline,Employment,headcount,yes,"299,100 (HLFS Dec 2025 quarter)",filled,observed,high,Stats NZ HLFS Dec 2025,,
S06,Healthcare,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"25,752 enterprises (Feb 2025)",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S06,Healthcare,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,"{""zero"": 17658, ""1-5"": 3999, ""6-9"": 1275, ""10-19"": 1320, ""20-49"": 855, ""50-99"": 321, ""100+"": 327}",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S06,Healthcare,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$64,109 per worker (derived: GDP/employment)",filled,derived,medium,Derived from Stats NZ GDP + HLFS,,
S06,Healthcare,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,"62% (Datacom 2024, 100+ employee firms). Blurs back-office vs clinical AI. Back-office = ""low-hanging fruit"" (PMCSA).",filled,observed,medium,Datacom 2024; PMCSA Dec 2023,,
S06,Healthcare,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,"Equity constraints (Māori, Pacific, rural), 85% of systems dont support data sharing, Te Tiriti obligations, NAIAEAG governance",filled,observed,high,PMCSA AI in Healthcare Dec 2023,,
S06,Healthcare,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,"Mixed. Admin AI accelerating. Clinical AI slow due to governance, equity, interoperability.",filled,observed,high,PMCSA Dec 2023; Health Digital Investment Plan 2025,,
S06,Healthcare,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,10-20% (OECD). Admin AI higher; clinical AI constrained by governance and equity.,filled,derived,medium,OECD; PMCSA Dec 2023,,
S06,Healthcare,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,C3,Productivity and labour,Labour displacement pressure,percent/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,C4,Productivity and labour,New role / job creation potential,qualitative/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,C5,Productivity and labour,Time-to-realise gains,years/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,C6,Productivity and labour,Capital cost of adoption,NZD/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,C7,Productivity and labour,NZ case studies / anchor evidence,text/link,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,D1,Policy and institutional context,Existing government support / incentives,text/link,yes,Health Digital Investment Plan 2025. Te Whatu Ora digital strategy. NAIAEAG.,filled,observed,high,HDIP 2025; PMCSA Dec 2023,,
S06,Healthcare,Tier 1,D2,Policy and institutional context,Regulatory or governance constraints,text/link,yes,NAIAEAG governance. Te Tiriti obligations. Equity requirements. 85% interoperability barrier.,filled,observed,high,PMCSA Dec 2023,,
S06,Healthcare,Tier 1,D3,Policy and institutional context,Skills pipeline relevance,text/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,D4,Policy and institutional context,Immigration / external talent relevance,text/range,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,D5,Policy and institutional context,Industry body AI initiatives,text/link,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,D6,Policy and institutional context,International comparators / alignment,text/link,yes,,unfilled,,,,,
S06,Healthcare,Tier 1,D7,Policy and institutional context,Government procurement / institutional settings,text/link,yes,,unfilled,,,,,
S07,Construction,Tier 1,A1,Economic baseline,GDP / value added,"NZD, annual",yes,"$18,085M (chain-volume, YE Mar 2025)",filled,observed,high,Stats NZ GDP by Industry Dec 2025,,
S07,Construction,Tier 1,A2,Economic baseline,Employment,headcount,yes,"295,100 (HLFS Dec 2025 quarter)",filled,observed,high,Stats NZ HLFS Dec 2025,,
S07,Construction,Tier 1,A3,Economic baseline,Enterprise count,count,yes,"81,249 enterprises (Feb 2025)",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S07,Construction,Tier 1,A4,Economic baseline,Firm size distribution,share/count by band,yes,"{""zero"": 54774, ""1-5"": 18861, ""6-9"": 3549, ""10-19"": 2553, ""20-49"": 1131, ""50-99"": 249, ""100+"": 135}",filled,observed,high,Stats NZ Business Demography Feb 2025,,
S07,Construction,Tier 1,A5,Economic baseline,Wage / earnings baseline,NZD,yes,,unfilled,,,,,
S07,Construction,Tier 1,A6,Economic baseline,Labour productivity baseline,NZD per worker,yes,"$61,284 per worker (derived: GDP/employment)",filled,derived,medium,Derived from Stats NZ GDP + HLFS,,
S07,Construction,Tier 1,A7,Economic baseline,Trade / export exposure,share/NZD,yes,,unfilled,,,,,
S07,Construction,Tier 1,B1,Adoption state,Current AI adoption estimate,percent/range,yes,No published adoption rate. 95% of firms <10 employees. Lowest digital maturity of any major sector.,gap,assumed,low,BDO 2025; Stats NZ Business Demography,,
S07,Construction,Tier 1,B2,Adoption state,Adoption by firm size,percent/range,yes,,unfilled,,,,,
S07,Construction,Tier 1,B3,Adoption state,AI type mix,categorical/share,yes,,unfilled,,,,,
S07,Construction,Tier 1,B4,Adoption state,Adoption stage,categorical,yes,,unfilled,,,,,
S07,Construction,Tier 1,B5,Adoption state,Primary barriers to adoption,text/coded,yes,"Extreme fragmentation, low digital maturity, cyclical downturn (GDP -8.5% in 2025)",filled,derived,medium,BDO 2025; Stats NZ GDP,,
S07,Construction,Tier 1,B6,Adoption state,AI-related investment level,NZD/range,yes,,unfilled,,,,,
S07,Construction,Tier 1,B7,Adoption state,Adoption trajectory / acceleration state,categorical,yes,AI entered top-5 concerns for first time (BDO 2025). $120B+ govt infrastructure pipeline creates demand-side pull.,filled,derived,medium,BDO 2025,,
S07,Construction,Tier 1,C1,Productivity and labour,Estimated productivity gain range,percent/range,yes,Low-moderate. Digital maturity too weak for meaningful near-term gains.,filled,derived,low,OECD; BDO 2025,,
S07,Construction,Tier 1,C2,Productivity and labour,Task automation exposure,percent/range,yes,,unfilled,,,,,
